,Date,sev_netIntInc,sev_nonIntInc,sev_nonIntExp,sev_addNonIntInc,sev_addNonIntExp,sup_netIntInc,sup_nonIntInc,sup_nonIntExp,sup_addNonIntInc,sup_addNonIntExp,severe_ppnr,super_ppnr
73,2018 Q4,45871000000.0,45048000000.0,55731000000.0,26091000000.0,23104000000.0,45871000000,45048000000,55731000000,26091000000,23104000000,38175000000,38175000000
74,2019 Q1,12223000000.0,12013000000.0,14409000000.0,4573000000.0,5794000000.0,12223000000,12013000000,14409000000,4573000000,5794000000,8606000000,8606000000
75,2019 Q2,29822000000.0,22904000000.0,30271000000.0,8951000000.0,12670000000.0,29822000000,22904000000,30271000000,8951000000,12670000000,18736000000,18736000000
76,2019 Q3,44491000000.0,34873000000.0,45451000000.0,15069000000.0,19141000000.0,44491000000,34873000000,45451000000,15069000000,19141000000,29841000000,29841000000
77,2019 Q4,58927000000.0,46541000000.0,60593000000.0,20552000000.0,25986000000.0,58927000000,46541000000,60593000000,20552000000,25986000000,39441000000,39441000000
78,2020 Q1,14507000000.0,10817000000.0,16179000000.0,9367000000.0,7386000000.0,14507000000,10817000000,16179000000,9367000000,7386000000,11126000000,11126000000
79,2020 Q2,28259000000.0,25629000000.0,31776000000.0,12990000000.0,13406000000.0,28259000000,25629000000,31776000000,12990000000,13406000000,21696000000,21696000000
80,2020 Q3,41097000000.0,38389000000.0,47481000000.0,19539000000.0,20273000000.0,41097000000,38389000000,47481000000,19539000000,20273000000,31271000000,31271000000
81,2020 Q4,54301000000.0,50410000000.0,61991000000.0,24773000000.0,26647000000.0,54301000000,50410000000,61991000000,24773000000,26647000000,40846000000,40846000000
82,2021 Q1,12727000000.0,14371000000.0,16663000000.0,7460000000.0,6136000000.0,12727000000,14371000000,16663000000,7460000000,6136000000,11759000000,11759000000
83,2021 Q2,25379000000.0,28487000000.0,33197000000.0,14229000000.0,12859000000.0,25379000000,28487000000,33197000000,14229000000,12859000000,22039000000,22039000000
84,2021 Q3,38438000000.0,41008000000.0,48676000000.0,21560000000.0,19323000000.0,38438000000,41008000000,48676000000,21560000000,19323000000,33007000000,33007000000
85,2021 Q4,52006000000.0,52675000000.0,64583000000.0,27372000000.0,26619000000.0,52006000000,52675000000,64583000000,27372000000,26619000000,40851000000,40851000000
86,2022 Q1,13818000000.0,13405000000.0,17169000000.0,7685000000.0,6832000000.0,13818000000,13405000000,17169000000,7685000000,6832000000,10907000000,10907000000
87,2022 Q2,29155000000.0,26463000000.0,33850000000.0,15522000000.0,13662000000.0,29155000000,26463000000,33850000000,15522000000,13662000000,23628000000,23628000000
88,2022 Q3,47510000000.0,39655000000.0,51140000000.0,21247000000.0,21247000000.0,47510000000,39655000000,51140000000,21247000000,21247000000,36025000000,36025000000
89,2022 Q4,68798000000.0,51370000000.0,68538000000.0,25954000000.0,25954000000.0,68798000000,51370000000,68538000000,25954000000,25954000000,51630000000,51630000000
90,2023 Q1,21820000000.0,14450000000.0,18108000000.0,3890000000.0,3890000000.0,21820000000,14450000000,18108000000,3890000000,3890000000,18162000000,18162000000
91,2023 Q2,44846000000.0,31269000000.0,37071000000.0,11569000000.0,11569000000.0,44846000000,31269000000,37071000000,11569000000,11569000000,39044000000,39044000000
92,2023 Q3,68735000000.0,45160000000.0,56267000000.0,17329000000.0,17329000000.0,68735000000,45160000000,56267000000,17329000000,17329000000,57628000000,57628000000
93,2023 Q4,93321000000.0,56906000000.0,78648000000.0,21079000000.0,21079000000.0,93321000000,56906000000,78648000000,21079000000,21079000000,71579000000,71579000000
94,2024 Q1,7094250278.289135,7776499819.891243,9890250070.475157,2310749928.5706453,4118999947.7292128,4410250045,7643999703,11948500188,2614500131,5047249951,3172250008,-2327000258
95,2024 Q2,7020250181.83806,4991999939.150239,16221750440.143456,2029249942.146392,6556000158.694857,4868500316,4915499910,7228000139,2062499981,2912750056,-8736250535,1705750013
96,2024 Q3,7020250181.83806,5048499982.920302,16196000435.814394,2029249942.146392,6500500132.103743,13870249708,5048499982,7202250134,2041749989,2912750056,-8598500461,10845499489
97,2024 Q4,20075749338.23627,5048499982.920302,14665250457.23034,2029249942.146392,5510500156.425032,18589249586,3132500006,11531500376,3139249901,5481749956,6977748649,7847749161
98,2025 Q1,18589249586.35319,2988500029.1972904,12482000326.280764,2377249955.921624,4301000052.544231,21798749062,3132500006,12482000326,3487249915,5481749956,7171999192,10454748701
99,2025 Q2,18589249586.35319,2988500029.1972904,12482000326.280764,2266000060.302201,4301000052.544231,21798749062,3132500006,12482000326,3376000019,5481749956,7060749297,10343498805
100,2025 Q3,21459499008.31821,7165250066.833836,12588500288.005959,2766000048.0267725,4370750064.959904,21798749062,3789999941,12588500288,3385749930,5481749956,14431498770,10904248689
101,2025 Q4,14559249744.994532,6411499988.774017,7219250241.537129,3421750158.272325,3106999873.433241,20884249311,4012999945,14119250266,3385749930,5342500009,14066249777,8821248911
102,2026 Q1,13829499591.582548,8981000249.05935,8407000540.778881,3926750102.9928646,3258999939.4842305,20884249311,4012999945,13977000302,3385749930,4854500050,15071249463,9451498833
103,2026 Q2,6364000057.673588,4573499910.0291195,5106000024.219595,4186500085.327154,2032249966.2287095,20884249311,4012999945,13977000302,3385749930,4854500050,7985750062,9451498833
104,2026 Q3,13561249666.878138,4573499910.0291195,5106000024.219595,4186500085.327154,2032249966.2287095,20884249311,4012999945,13977000302,3385749930,4854500050,15182999671,9451498833
105,2026 Q4,13547499692.833601,4573499910.0291195,12050000407.258018,5823250148.446087,6063500098.881938,20884249311,4012999945,13977000302,3385749930,4854500050,5830749245,9451498833
106,2027 Q1,13679249662.83867,5643749834.719394,12050000407.258018,5823250148.446087,6063500098.881938,21002249307,5083249869,14957250256,3385749930,5713250069,7032749139,8800748781
