Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Trading Gain Loss,BAC,0.1021340525965698,0.04772962945517415,0.1033888163105595,0.06679233561167351
Gain Losson Saleof Assets,BAC,0.1002428077885062,0.04605184634646923,0.10167474495028384,0.06481871900353031
Gain on Sale of Security,BAC,0.1002428077885062,0.04605184634646923,0.10167474495028384,0.06481871900353031
Other Non Interest Income,BAC,0.0997836625087603,0.04566293413766881,0.10131757279133098,0.06464438877530652
Credit Losses Provision,BAC,0.09959011145747954,0.04569850452904176,0.10258079072512061,0.06214471062481325
Non Interest Expense,BAC,0.11002359748273713,0.05458846238229639,0.11345511503665205,0.07786112400477638
Occupancy And Equipment,BAC,0.10130696721396705,0.04703433946130588,0.10308252787165625,0.06650556474844362
Professional Expense And Contract Services Expense,BAC,0.10056351133395147,0.04634947048053514,0.10202481705527627,0.0652188753810521
Selling General and Administrative,BAC,0.10764245906982009,0.05243589791686727,0.11055947636313146,0.07454058197477409
General & Administrative Expense,BAC,0.10682027559411855,0.051674747120222506,0.10941163430619849,0.07332782941149375
Salaries and Wages,BAC,0.10593644692556856,0.051116041871352734,0.10880241023165109,0.07254901266020133
Other G and A,BAC,0.10112663645705618,0.046610551595339,0.10228396902483125,0.06559753575482273
Selling & Marketing Expense,BAC,0.10106499126420773,0.046812997143113995,0.1028225870072168,0.06603147156681065
Other Non Interest Expense,BAC,0.10123908323051709,0.04692429356299579,0.10281252859743956,0.06605225891109749
Pretax Income,BAC,0.10445280310347153,0.05035489107470796,0.108375618099142,0.0693057145118104
Tax Provision,BAC,0.10051419517967272,0.04652996242738464,0.1020687979450866,0.06507879702693734
Net Income Common Stockholders,BAC,0.1039364689098783,0.049666548422904716,0.10770131019662416,0.0687099681221351
Net Income,BAC,0.104181415712305,0.04987677499379255,0.10798156510433923,0.06904563648840338
Net Income Including Non-Controlling Interests,BAC,0.104181415712305,0.04987677499379255,0.10798156510433923,0.06904563648840338
Net Income Continuous Operations,BAC,0.104181415712305,0.04987677499379255,0.10798156510433923,0.06904563648840338
Preferred Stock Dividends,BAC,0.10048775459093291,0.04626207291735706,0.10195499985799891,0.06515438736979859
Diluted NI Available to Com Stockholders,BAC,0.1039364689098783,0.049666548422904716,0.10770131019662416,0.0687099681221351
Basic EPS,BAC,0.10024280824898836,0.04605184679248859,0.10167474566028924,0.06481871944762357
Diluted EPS,BAC,0.1002428082460175,0.04605184678970965,0.10167474565437253,0.06481871944526138
Basic Average Shares,BAC,0.10143539717477854,0.047179219332730025,0.10334982518089358,0.0668863983445715
Diluted Average Shares,BAC,0.10144310653745042,0.047186694672792,0.10336266444513867,0.06689672115076849
Interest Income after Provision for Loan Loss,BAC,0.10804679211785255,0.052987933717354614,0.11104839396779415,0.07238720208251395
Net Income from Continuing & Discontinued Operation,BAC,0.104181415712305,0.04987677499379255,0.10798156510433923,0.06904563648840338
Normalized Income,BAC,0.104181415712305,0.04987677499379255,0.10798156510433923,0.06904563648840338
Total Money Market Investments,BAC,0.10301743563721968,0.04668544394280003,0.1016569948153828,0.06503202550229192
Reconciled Depreciation,BAC,0.10054835998534777,0.04632668319856185,0.10204907557297435,0.06525407213444688
Net Income from Continuing Operation Net Minority Interest,BAC,0.104181415712305,0.04987677499379255,0.10798156510433923,0.06904563648840338
Tax Rate for Calcs,BAC,0.1002428077885062,0.04605184634646923,0.10167474495028384,0.06481871900353031
Tax Effect of Unusual Items,BAC,0.1002428077885062,0.04605184634646923,0.10167474495028384,0.06481871900353031
Total Revenue,WFC,0.11251198367694712,0.056385045040313345,0.11728815805666788,0.0823613478230572
Net Interest Income,WFC,0.10802272821124664,0.05229750686293186,0.10873121246832586,0.07425711818904437
Interest Income,WFC,0.11288645965567225,0.05355831050089364,0.10950334333652045,0.07613813662718252
Interest Income from Loans And Lease,WFC,0.10878668297466725,0.051363506195709126,0.10749264749967655,0.07312822366237574
Interest Income from Loans,WFC,0.10878668297466725,0.051363506195709126,0.10749264749967655,0.07312822366237574
Interest Income from Securities,WFC,0.10273683860278424,0.0477870145006313,0.10361956806427283,0.06760327825868197
Other Interest Income,WFC,0.10184855365523315,0.04651148249749166,0.10174061767313874,0.06504407271318545
Interest Expense,WFC,0.10510653923293178,0.04731264998443101,0.10244687581847843,0.06669973744166847
Interest Expense for Deposit,WFC,0.10269420686700712,0.04637823247668437,0.10175126775407936,0.0654810793828521
Interest Expense for Short Term Debt,WFC,0.10081439984171298,0.04613271340810619,0.10166665877771781,0.06487777395889067
Interest Expense for Long Term Debt And Capital Securities,WFC,0.10196174314186089,0.04681674870782911,0.10230053581740553,0.06587485782519498
Other Interest Expense,WFC,0.10036461274786938,0.04614049443121902,0.10175264832012722,0.06492218328532166
Non Interest Income,WFC,0.10473206325420666,0.05013938452385071,0.11023169053862586,0.07292294863754313
Fees And Commissions,WFC,0.10349247497873613,0.049226364829664374,0.10652625126617628,0.07007555490988805
Fees & Commission Income,WFC,0.10349247497873613,0.049226364829664374,0.10652625126617628,0.07010838946506841
Service Charge on Depositor Accounts,WFC,0.10121962414554564,0.04705865515853348,0.10307779450234932,0.06637824226468668
Trust Fees by Commissions,WFC,0.10153067241982189,0.04730292370553996,0.10384637534356371,0.0671485551024072
Securities Activities,WFC,0.11187970540019221,0.05430122927170815,0.11183280180030235,0.06703327982954378
Credit Card,WFC,0.10087500523612783,0.046656959840333405,0.10249815398597029,0.06565588205071876
Other Customer Services,WFC,0.10059559654275935,0.04636336516466521,0.10212816228514447,0.0653818670578467
Fees & Commission Expense,WFC,0.11187970540019221,0.05430122927170815,0.11183280180030235,0.06485155355871067
Investment Banking Profit,WFC,0.10048775459093291,0.046251790851100816,0.1021390095898062,0.06525926897051859
Trading Gain Loss,WFC,0.10089164201106525,0.04625484768160942,0.1031073780605177,0.0654588747196366
Gain Losson Saleof Assets,WFC,0.1003011850434205,0.046169951161574754,0.1026139243102692,0.0656766693950056
Gain on Sale of Security,WFC,0.1002428077885062,0.04605184634646923,0.10167474495028384,0.06439352332493573
Gain on Saleof Loans,WFC,0.1003011850434205,0.046169951161574754,0.1026139243102692,0.06610186507360019
Other Non Interest Income,WFC,0.10053023778407666,0.04644381538577826,0.10254410711299183,0.06572745665661552
Credit Losses Provision,WFC,0.09944082611094293,0.04583870189191409,0.10249420951154783,0.06148116914638425
Non Interest Expense,WFC,0.10849613358379603,0.05400030040307089,0.11227709775038734,0.07807797380085961
Occupancy And Equipment,WFC,0.10067120474314455,0.0464521521962563,0.10226010495457542,0.06558950428089372
Net Occupancy Expense,WFC,0.10067120474314455,0.0464521521962563,0.10226010495457542,0.06558950428089372
Equipment,WFC,0.11187970540019221,0.05430122927170815,0.11183280180030235,0.06555076423017732
Professional Expense And Contract Services Expense,WFC,0.10099814707919136,0.04677270255913682,0.10280345630626792,0.06640280912611658
Selling General and Administrative,WFC,0.10568555841780707,0.05089344903158915,0.10880260745537221,0.07318349910059303
General & Administrative Expense,WFC,0.10556494179951083,0.05082328087673234,0.1086842732226987,0.07304176720772818
Salaries and Wages,WFC,0.10556494179951083,0.05082328087673234,0.1086842732226987,0.07304176720772818
Rental & Landing Fees,WFC,0.11187970540019221,0.05430122927170815,0.11183280180030235,0.07727821446788524
Selling & Marketing Expense,WFC,0.10036342440680243,0.04612201450132604,0.10179307918295734,0.06496045089639517
Other Non Interest Expense,WFC,0.10186964670917166,0.048037535655496316,0.1034351638850233,0.0673583183038472
Special Income Charges,WFC,0.11187970540019221,0.046051151612262725,0.10165975594747853,0.0644646254911896
Restructuring & Mergers Acquisition,WFC,0.11187970540019221,0.04605254108067573,0.10168973395308914,0.06517281251587102
Other Special Charges,WFC,0.11187970540019221,0.05430122927170815,0.11183280180030235,0.06480194739620797
Pretax Income,WFC,0.10345667620409402,0.048223446529156534,0.10750526981782839,0.06541044965624111
Tax Provision,WFC,0.10063005843370113,0.04636461568623691,0.10281154247883394,0.06454541267012257
Net Income Common Stockholders,WFC,0.10291390142176096,0.047797296566887554,0.1057805483766121,0.06524060760462472
Net Income,WFC,0.10308621087646988,0.04795222229493774,0.10603516420058125,0.06561643334053804
Net Income Including Non-Controlling Interests,WFC,0.10306942555889909,0.04791067718938885,0.10636847228927827,0.06568375598964886
Net Income Continuous Operations,WFC,0.10306942555889909,0.04791067718938885,0.10636847228927827,0.06568375598964886
Minority Interests,WFC,0.10025959310607697,0.046093391452018115,0.10134143686158681,0.0647513963544195
Preferred Stock Dividends,WFC,0.1004151172432151,0.04620677207451941,0.10192936077425299,0.06519454473944364
Diluted NI Available to Com Stockholders,WFC,0.10291390142176096,0.047797296566887554,0.1057805483766121,0.06524060760462472
Basic EPS,WFC,0.11187970540019221,0.04605184680499381,0.10167474596204153,0.06481871910510484
Diluted EPS,WFC,0.11187970540019221,0.0460518468008254,0.10167474595218035,0.06481871910510484
