Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Minority Interests,UBS,"-16,000","-32,000","-29,000","-15,000"
Average Dilution Earnings,UBS,0,0,0,"-1,000"
Diluted NI Available to Com Stockholders,UBS,"27,849,000","7,630,000","7,457,000","6,556,000"
Basic EPS,UBS,-,2.34,2.14,1.85
Diluted EPS,UBS,-,2.25,2.06,1.79
Basic Average Shares,UBS,-,"3,260,939","3,482,964","3,583,176"
Diluted Average Shares,UBS,-,"3,397,470","3,627,241","3,707,028"
Rent Expense Supplemental,UBS,-,-,-,"813,000"
Interest Income after Provision for Loan Loss,UBS,"6,259,000","6,593,000","6,852,000","5,167,000"
Net Income from Continuing & Discontinued Operation,UBS,"27,850,000","7,629,000","7,457,000","6,557,000"
Normalized Income,UBS,"5,813,540","6,977,034","7,994,309","5,969,426"
Total Money Market Investments,UBS,"3,948,000","1,378,000","513,000","862,000"
Reconciled Depreciation,UBS,"3,750,000","2,061,000","2,118,000","2,126,000"
Net Income from Continuing Operation Net Minority Interest,UBS,"27,850,000","7,629,000","7,457,000","6,557,000"
Total Unusual Items Excluding Goodwill,UBS,"22,718,000","817,000","-681,000","729,000"
Total Unusual Items,UBS,"22,718,000","817,000","-681,000","729,000"
Tax Rate for Calcs,UBS,0,0,0,0
Tax Effect of Unusual Items,UBS,"681,540","165,034","-143,691","141,426"
Total Revenue,IBN,"1,355,811,552","1,163,639,822","1,185,394,470","831,842,119"
Net Interest Income,IBN,"705,234,219","1,513,481,098","465,035,764","954,068,654"
Interest Income,IBN,"1,210,668,098","668,865,377","891,626,638","1,109,731,151"
Interest Income from Loans And Lease,IBN,"879,292,351","354,619,197","602,616,872","219,906,420"
Interest Income from Loans,IBN,"879,292,351","18,195,960","602,616,872","22,433,080"
Interest Income from Securities,IBN,"279,050,297","681,638,979","232,642,538","411,666,711"
Interest Income from Deposits,IBN,"23,054,570","336,132,833","18,817,238",-
Other Interest Income,IBN,"29,270,880",-,"37,549,990","71,131,869"
Interest Expense,IBN,"505,433,879","621,237,879","426,590,874",-
Interest Expense for Deposit,IBN,"394,765,407",-,"337,196,585","172,883,870"
Interest Expense for Long Term Debt And Capital Securities,IBN,"13,380,975","172,883,870","12,001,131",-
Other Interest Expense,IBN,"97,287,497",-,"77,393,158","25,126,881"
Non Interest Income,IBN,"650,577,333","25,126,881","720,358,706","63,989,978"
Total Premiums Earned,IBN,"411,367,848","-165,299,829","479,230,586","-174,340,856"
Fees And Commissions,IBN,"196,484,672","731,517,275","140,230,546",-
Fees & Commission Income,IBN,"196,484,672",-,"140,230,546","26,994,748"
Foreign Exchange Trading Gains,IBN,"30,509,008","1,926,738","19,721,169","344,502,441"
Gain Losson Saleof Assets,IBN,"11,412,527","279,095,351","79,823,949","219,013,996"
Gain on Sale of Security,IBN,"11,412,527","123,539,521","79,823,949",-
Other Non Interest Income,IBN,"803,278",-,"1,352,456","72,063,619"
Credit Losses Provision,IBN,"-187,333,629","9,324,939","-220,417,554",-
Non Interest Expense,IBN,"824,390,232",-,"762,716,696","13,300,074"
Occupancy And Equipment,IBN,"34,644,161","13,300,074","21,785,244",-
Equipment,IBN,"34,644,161","524,821,878","21,785,244","421,270,259"
Professional Expense And Contract Services Expense,IBN,"2,020,560","7,544,279","2,372,867","542,579"
Selling General and Administrative,IBN,"312,136,641",-,"290,155,674","-56,635"
General & Administrative Expense,IBN,"246,729,551","265,382,605","241,235,613",-
Salaries and Wages,IBN,"152,479,092","424,375,508","110,634,504","251,100,960"
Rental & Landing Fees,IBN,"15,846,567","251,100,960","13,829,516","441,167,546"
Insurance & Claims,IBN,"68,215,530","441,167,546","108,819,710","265,382,605"
Other G and A,IBN,"10,188,362",0,"7,951,883","-16,792,038"
Selling & Marketing Expense,IBN,"65,407,090","424,375,508","48,920,061","251,100,960"
Depreciation Amortization Depletion,IBN,"15,145,592",72.42,"13,400,744",112.74
Depreciation & amortization,IBN,"15,145,592","3,492,706","13,400,744","3,466,826"
Depreciation,IBN,"15,145,592","3,537,972","13,400,744",-
Other Non Interest Expense,IBN,"460,443,278","666,542,290","435,002,167","368,061,087"
Income from Associates & Other Participating Interests,IBN,"9,982,876","251,100,960","1,442,857","423,995,703"
Special Income Charges,IBN,"542,579","26,697,670","-63,424","18,195,960"
Other Special Charges,IBN,"-542,579","14,794,572","63,424","424,375,508"
Pretax Income,IBN,"354,613,146","542,579","203,639,653","56,635"
Tax Provision,IBN,"117,934,400","56,635","56,643,700",0
Net Income Common Stockholders,IBN,"340,366,408","162,774","183,843,186","13,706"
Total Revenue,BNPQY,"59,735,000","57,477,000","56,355,000","52,285,000"
Net Interest Income,BNPQY,"19,058,000","20,933,000","19,238,000","19,286,000"
Interest Income,BNPQY,"79,542,000","41,082,000","29,518,000","31,169,000"
Interest Expense,BNPQY,"60,484,000","20,149,000","10,280,000","11,883,000"
Non Interest Income,BNPQY,"40,677,000","36,544,000","37,117,000","32,999,000"
Total Premiums Earned,BNPQY,"2,320,000","1,901,000","4,332,000","4,114,000"
Fees And Commissions,BNPQY,"9,821,000","10,165,000","10,362,000","9,579,000"
Fees & Commission Income,BNPQY,"15,011,000","14,622,000","15,037,000","13,304,000"
Fees & Commission Expense,BNPQY,"5,190,000","4,457,000","4,675,000","3,725,000"
Dividend Income,BNPQY,"84,000","129,000","106,000","53,000"
Income from Associates & Other Participating Interests,BNPQY,"593,000","655,000","494,000","423,000"
Special Income Charges,BNPQY,"-123,000","-52,000","917,000","1,029,000"
Restructuring & Mergers Acquisition,BNPQY,0,"-249,000","-91,000","-5,000"
Impairment of Capital Assets,BNPQY,"19,000","20,000","8,000","6,000"
Write Off,BNPQY,-,"17,000","-12,000","17,000"
Other Special Charges,BNPQY,"104,000","253,000","-834,000","-1,030,000"
Pretax Income,BNPQY,"11,725,000","13,214,000","12,744,000","9,337,000"
Tax Provision,BNPQY,"3,266,000","3,653,000","3,584,000","2,301,000"
Net Income Common Stockholders,BNPQY,"10,298,000","9,273,000","9,052,000","6,626,000"
Net Income,BNPQY,"10,975,000","9,848,000","9,488,000","7,067,000"
Net Income Including Non-Controlling Interests,BNPQY,"11,406,000","10,248,000","9,880,000","7,415,000"
Net Income Continuous Operations,BNPQY,"8,459,000","9,561,000","9,160,000","7,036,000"
Net Income Discontinuous Operations,BNPQY,"2,947,000","687,000","720,000","379,000"
Minority Interests,BNPQY,"-431,000","-400,000","-392,000","-348,000"
Diluted NI Available to Com Stockholders,BNPQY,"10,298,000","9,273,000","9,052,000","6,626,000"
Basic EPS,BNPQY,4.29,3.76,3.63,2.65
Diluted EPS,BNPQY,4.29,3.76,3.63,2.65
Basic Average Shares,BNPQY,"2,400,735","2,465,983","2,494,029","2,495,643"
Diluted Average Shares,BNPQY,"2,400,735","2,465,983","2,494,029","2,495,644"
Net Income from Continuing & Discontinued Operation,BNPQY,"10,975,000","9,848,000","9,488,000","7,067,000"
Normalized Income,BNPQY,"8,045,675","9,121,512","7,930,460","5,815,288"
Reconciled Depreciation,BNPQY,"6,245,000","6,465,000","6,781,000","6,325,000"
Net Income from Continuing Operation Net Minority Interest,BNPQY,"8,028,000","9,161,000","8,768,000","6,688,000"
Total Unusual Items Excluding Goodwill,BNPQY,"-25,000","96,000","1,188,000","1,173,000"
Total Unusual Items,BNPQY,"-25,000","96,000","1,188,000","1,173,000"
Tax Rate for Calcs,BNPQY,0,0,0,0
Tax Effect of Unusual Items,BNPQY,"-7,325","28,512","350,460","300,288"
Total Revenue,SMFG,"3,719,457,000","3,423,103,000","3,050,719,000","1,786,581,000"
Net Interest Income,SMFG,"1,717,793,000","5,745,526,000","1,335,217,000","1,907,991,000"
Interest Income,SMFG,"3,779,715,000","1,389,959,000","1,853,039,000","3,519,663,000"
Interest Income from Loans And Lease,SMFG,"2,551,249,000","7,307,000","1,386,162,000","6,932,000"
Interest Income from Loans,SMFG,"2,542,573,000","347,883,000","1,379,622,000","81,592,000"
Interest Income from Leases,SMFG,"8,676,000","52,865,000","6,540,000","6,166,000"
Interest Income from Securities,SMFG,"437,385,000","142,649,000","283,786,000","3,958,945,000"
Interest Income from Deposits,SMFG,"304,299,000","1,803,563,000","17,891,000","111,577,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,SMFG,"20,232,000","3,781,000","10,056,000","324,898,000"
Other Interest Income,SMFG,"466,550,000","132,389,000","155,144,000","5,872,000"
Interest Expense,SMFG,"2,061,922,000","20,190,000","517,822,000","2,197,588,000"
Interest Expense for Deposit,SMFG,"1,056,203,000","1,380,372,000","187,970,000","1,205,472,000"
Interest Expense for Short Term Debt,SMFG,"63,168,000","1,420,804,000","7,878,000","291,703,000"
Interest Expense for Long Term Debt And Capital Securities,SMFG,"343,037,000","152,797,000","242,176,000","189,596,000"
Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,SMFG,"275,765,000","173,799,000","7,097,000","304,238,000"
Other Interest Expense,SMFG,"323,749,000","486,996,000","72,701,000","287,641,000"
Non Interest Income,SMFG,"2,001,664,000","215,332,000","1,715,502,000","79,840,000"
Fees And Commissions,SMFG,"1,225,740,000","22,331,000","1,098,916,000","75,307,000"
Fees & Commission Income,SMFG,"1,448,061,000",-,"1,303,268,000","261,875,000"
Service Charge on Depositor Accounts,SMFG,"479,910,000","297,275,000","397,450,000","251,756,000"
Trust Fees by Commissions,SMFG,"151,816,000","-27,551,000","169,294,000","533,010,000"
Securities Activities,SMFG,"121,641,000","-70,571,000","170,668,000","-274,400,000"
Credit Card,SMFG,"380,165,000","2,136,586,000","307,128,000","60,147,000"
Other Customer Services,SMFG,"314,529,000","8,864,000","258,728,000",-
Fees & Commission Expense,SMFG,"222,321,000",-,"204,352,000","1,988,330,000"
Dividend Income,SMFG,-,"1,988,330,000","74,109,000","1,651,595,000"
Trading Gain Loss,SMFG,"5,934,000","680,177,000","181,526,000","26,380,000"
Foreign Exchange Trading Gains,SMFG,-,"1,207,167,000","168,462,000","946,429,000"
Gain Losson Saleof Assets,SMFG,"261,875,000",-,"51,290,000","258,516,000"
Gain on Sale of Security,SMFG,"297,275,000","258,516,000","72,052,000","194,484,000"
Gain on Saleof Loans,SMFG,"-35,400,000","194,484,000","-20,762,000","324,429,000"
Other Non Interest Income,SMFG,"508,115,000","24,031,000","383,770,000","28,500,000"
Credit Losses Provision,SMFG,"-210,200,000","-111,033,000","-360,500,000",0
Non Interest Expense,SMFG,"2,403,834,000","-22,040,000","2,004,957,000",-
Occupancy And Equipment,SMFG,-,"108,920,000","56,389,000","174,782,000"
Net Occupancy Expense,SMFG,-,"113,074,000",-,"2,113,000"
Equipment,SMFG,-,-,"56,389,000","1,152,882,000"
Selling General and Administrative,SMFG,"1,785,029,000","313,699,000","1,588,263,000","214,535,000"
General & Administrative Expense,SMFG,"1,785,029,000","706,631,000","1,588,263,000","832,658,000"
Salaries and Wages,SMFG,"749,849,000","839,183,000","646,959,000","715,052,000"
Rental & Landing Fees,SMFG,"31,314,000","715,052,000","23,419,000","-12,364,000"
Other G and A,SMFG,"1,003,866,000","-6,525,000","917,885,000","-8,421,000"
Selling & Marketing Expense,SMFG,-,-,"89,924,000","832,658,000"
Depreciation Amortization Depletion,SMFG,"195,530,000",120.33,"182,240,000",103.10
Depreciation & amortization,SMFG,"195,530,000",103.06,"182,240,000","6,733,330"
Depreciation,SMFG,"195,530,000","6,735,522","182,240,000","6,856,490"
Other Non Interest Expense,SMFG,"423,275,000","24,989,000","234,454,000","1,552,826,000"
Income from Associates & Other Participating Interests,SMFG,"55,500,000","832,658,000","25,000,000","706,631,000"
Special Income Charges,SMFG,"-62,458,000","792,037,584","-38,025,000","134,457,000"
Gain on Sale of Business,SMFG,-,"317,074,000","-680,000","241,916,000"
Restructuring & Mergers Acquisition,SMFG,-,"706,631,000","-405,000","-172,119,000"
Impairment of Capital Assets,SMFG,"59,045,000","-172,119,000","42,525,000","-111,033,000"
Write Off,SMFG,-,0,"2,607,000","-46,833,551"
Total Revenue,BMO,"33,055,000","26,259,000","26,909,000","25,025,000"
Net Interest Income,BMO,"18,681,000","15,885,000","14,310,000","13,971,000"
Interest Income,BMO,"55,574,000","26,897,000","19,887,000","23,315,000"
Interest Income from Loans And Lease,BMO,"40,169,000","20,464,000","15,727,000","17,945,000"
Interest Income from Loans,BMO,"40,169,000","20,464,000","15,727,000","17,945,000"
Interest Income from Securities,BMO,"11,392,000","5,590,000","3,963,000","4,980,000"
Interest Income from Deposits,BMO,"4,013,000","843,000","197,000","390,000"
Interest Expense,BMO,"36,893,000","11,012,000","5,577,000","9,344,000"
Interest Expense for Deposit,BMO,"26,547,000","6,711,000","3,220,000","6,239,000"
Interest Expense for Long Term Debt And Capital Securities,BMO,"430,000","227,000","195,000","265,000"
Other Interest Expense,BMO,"9,916,000","4,074,000","2,162,000","2,840,000"
Non Interest Income,BMO,"14,374,000","10,374,000","12,599,000","11,054,000"
Total Premiums Earned,BMO,"2,498,000","-157,000","1,941,000","2,178,000"
Fees And Commissions,BMO,"7,885,000","7,470,000","7,760,000","7,134,000"
Fees & Commission Income,BMO,"7,885,000","7,470,000","7,760,000","7,134,000"
Service Charge on Depositor Accounts,BMO,"3,065,000","2,758,000","2,634,000","2,516,000"
Trust Fees by Commissions,BMO,"3,095,000","3,082,000","3,577,000","3,224,000"
Securities Activities,BMO,"1,025,000","1,082,000","1,107,000","1,036,000"
Credit Card,BMO,"700,000","548,000","442,000","358,000"
Investment Banking Profit,BMO,"1,107,000","1,193,000","1,421,000","1,070,000"
Trading Gain Loss,BMO,"1,795,000","537,000","296,000","15,000"
Foreign Exchange Trading Gains,BMO,"235,000","181,000","167,000","127,000"
Gain Losson Saleof Assets,BMO,"181,000","281,000","591,000","124,000"
Gain on Sale of Security,BMO,"181,000","281,000","591,000","124,000"
Other Non Interest Income,BMO,"673,000","869,000","423,000","406,000"
Credit Losses Provision,BMO,"-1,473,000","-313,000","-20,000","-2,953,000"
Non Interest Expense,BMO,"21,116,000","14,542,000","16,037,000","15,871,000"
Occupancy And Equipment,BMO,"4,879,000","3,635,000","3,396,000","3,202,000"
Professional Expense And Contract Services Expense,BMO,"1,147,000","788,000","607,000","555,000"
Selling General and Administrative,BMO,"14,268,000","8,629,000","10,118,000","9,652,000"
General & Administrative Expense,BMO,"13,454,000","8,112,000","9,721,000","9,652,000"
Salaries and Wages,BMO,"11,515,000","8,795,000","8,322,000","7,944,000"
Insurance & Claims,BMO,"1,939,000","-683,000","1,399,000","1,708,000"
Other G and A,BMO,-,-,-,"688,000"
Selling & Marketing Expense,BMO,"814,000","517,000","397,000",-
Depreciation Amortization Depletion,BMO,"1,015,000","604,000","634,000","620,000"
Depreciation & amortization,BMO,"1,015,000","604,000","634,000","620,000"
Amortization,BMO,"1,015,000","604,000","634,000","620,000"
Amortization of Intangibles,BMO,"1,015,000","604,000","634,000","620,000"
Other Non Interest Expense,BMO,"-193,000","886,000","1,282,000","1,842,000"
Income from Associates & Other Participating Interests,BMO,"185,000","274,000","248,000","161,000"
Special Income Charges,BMO,"-4,788,000","6,208,000","-842,000","-14,000"
Gain on Sale of Business,BMO,0,"-37,000","-857,000",-
Restructuring & Mergers Acquisition,BMO,"4,761,000","-7,387,000","-15,000","14,000"
Other Special Charges,BMO,"27,000","1,142,000",-,-
Pretax Income,BMO,"5,863,000","17,886,000","10,258,000","6,348,000"
Tax Provision,BMO,"1,486,000","4,349,000","2,504,000","1,251,000"
Net Income Common Stockholders,BMO,"4,034,000","13,306,000","7,510,000","4,850,000"
Net Income,BMO,"4,365,000","13,537,000","7,754,000","5,097,000"
Net Income Including Non-Controlling Interests,BMO,"4,377,000","13,537,000","7,754,000","5,097,000"
Net Income Continuous Operations,BMO,"4,377,000","13,537,000","7,754,000","5,097,000"
Minority Interests,BMO,"-12,000",0,-,-
Preferred Stock Dividends,BMO,"331,000","231,000","244,000","247,000"
Diluted NI Available to Com Stockholders,BMO,"4,034,000","13,306,000","7,510,000","4,850,000"
Basic EPS,BMO,5.69,20.04,11.60,7.56
Diluted EPS,BMO,5.68,19.99,11.58,7.55
Basic Average Shares,BMO,"709,364","663,990","647,163","641,424"
Diluted Average Shares,BMO,"710,515","665,707","648,676","642,128"
Interest Income after Provision for Loan Loss,BMO,"17,208,000","15,572,000","14,290,000","11,018,000"
Net Income from Continuing & Discontinued Operation,BMO,"4,365,000","13,537,000","7,754,000","5,097,000"
Normalized Income,BMO,"7,941,636","8,837,544","8,390,552","5,108,242"
Total Money Market Investments,BMO,"4,013,000","843,000","197,000","390,000"
Reconciled Depreciation,BMO,"2,099,000","1,480,000","1,565,000","1,618,000"
Net Income from Continuing Operation Net Minority Interest,BMO,"4,365,000","13,537,000","7,754,000","5,097,000"
Total Unusual Items Excluding Goodwill,BMO,"-4,788,000","6,208,000","-842,000","-14,000"
Total Unusual Items,BMO,"-4,788,000","6,208,000","-842,000","-14,000"
Tax Rate for Calcs,BMO,0,0,0,0
Tax Effect of Unusual Items,BMO,"-1,211,364","1,508,544","-205,448","-2,758"
Total Revenue,BBVA,"29,542,000","24,743,000","22,996,000","22,271,000"
Net Interest Income,BBVA,"23,089,000","19,124,000","14,686,000","14,592,000"
Interest Income,BBVA,"23,089,000","19,124,000","23,014,000","22,389,000"
Interest Income from Securities,BBVA,-,"29,799,000","21,628,000","21,037,000"
Other Interest Income,BBVA,-,"1,633,000","1,386,000","1,352,000"
Interest Expense,BBVA,-,"12,279,000","8,328,000","7,798,000"
Other Interest Expense,BBVA,-,"12,279,000","8,328,000","7,798,000"
Non Interest Income,BBVA,"6,453,000","5,619,000","8,310,000","7,679,000"
Total Premiums Earned,BBVA,-,"1,211,000","908,000","977,000"
Fees And Commissions,BBVA,"6,288,000","5,372,000","4,765,000","4,123,000"
Fees & Commission Income,BBVA,-,"8,261,000","6,997,000","5,980,000"
Service Charge on Depositor Accounts,BBVA,-,"2,364,000","2,061,000","1,733,000"
Trust Fees by Commissions,BBVA,-,"1,228,000","1,250,000","1,100,000"
Securities Activities,BBVA,-,"459,000","436,000","502,000"
Credit Card,BBVA,-,"3,499,000","2,628,000","2,089,000"
Other Customer Services,BBVA,-,"711,000","622,000","556,000"
Fees & Commission Expense,BBVA,-,"2,907,000","2,232,000","1,857,000"
Dividend Income,BBVA,-,"123,000","176,000","137,000"
Trading Gain Loss,BBVA,"2,183,000","1,938,000","341,000","777,000"
Foreign Exchange Trading Gains,BBVA,-,"1,275,000","883,000","359,000"
Gain Losson Saleof Assets,BBVA,0,0,"576,000","814,000"
Gain on Sale of Security,BBVA,0,0,"680,000","822,000"
Gain on Saleof Investment Property,BBVA,-,"-32,000","-104,000","-8,000"
Other Non Interest Income,BBVA,"-2,018,000","-1,691,000","661,000","492,000"
Credit Losses Provision,BBVA,"-4,428,000","-3,379,000","-3,025,000","-5,352,000"
Non Interest Expense,BBVA,"12,681,000","10,993,000","11,709,000","10,623,000"
Occupancy And Equipment,BBVA,-,"440,000","380,000","404,000"
Net Occupancy Expense,BBVA,-,"440,000","380,000","404,000"
Selling General and Administrative,BBVA,"10,905,000","9,374,000","8,459,000","8,061,000"
General & Administrative Expense,BBVA,"10,905,000","9,374,000","8,252,000","7,875,000"
Salaries and Wages,BBVA,"6,530,000","5,601,000","5,107,000","4,905,000"
Insurance & Claims,BBVA,-,"997,000","829,000","800,000"
Other G and A,BBVA,"4,375,000","3,773,000","2,316,000","2,170,000"
Selling & Marketing Expense,BBVA,-,"282,000","207,000","186,000"
Depreciation Amortization Depletion,BBVA,"1,403,000","1,328,000","1,234,000","1,288,000"
Depreciation & amortization,BBVA,"1,403,000","1,328,000","1,234,000","1,288,000"
Depreciation,BBVA,-,"818,000","740,000","781,000"
Amortization,BBVA,-,"510,000","494,000","507,000"
Amortization of Intangibles,BBVA,-,"510,000","494,000","507,000"
Other Non Interest Expense,BBVA,"373,000","291,000","1,636,000","870,000"
Income from Associates & Other Participating Interests,BBVA,-,"21,000","1,000","-39,000"
Special Income Charges,BBVA,"-13,000","30,000","-1,014,000","-1,009,000"
Gain on Sale of Business,BBVA,-,"-11,000","24,000","-7,000"
Restructuring & Mergers Acquisition,BBVA,-,0,0,0
Impairment of Capital Assets,BBVA,-,"-28,000","180,000","144,000"
Write Off,BBVA,-,"234,000","138,000","302,000"
Other Special Charges,BBVA,"13,000","-30,000","720,000","556,000"
Pretax Income,BBVA,"12,419,000","10,402,000","7,247,000","5,248,000"
Tax Provision,BBVA,"4,003,000","3,438,000","1,909,000","1,459,000"
Net Income Common Stockholders,BBVA,"7,675,000","6,045,000","4,293,000","917,000"
Net Income,BBVA,"8,019,000","6,358,000","4,653,000","1,305,000"
Net Income Including Non-Controlling Interests,BBVA,"8,416,000","6,764,000","5,618,000","2,060,000"
Net Income Continuous Operations,BBVA,"8,416,000","6,965,000","5,338,000","3,789,000"
Net Income Discontinuous Operations,BBVA,0,"-201,000","280,000","-1,729,000"
Net Income from Tax Loss Carryforward,BBVA,-,-,-,"-1,780,000"
Minority Interests,BBVA,"-397,000","-405,000","-965,000","-756,000"
Diluted NI Available to Com Stockholders,BBVA,"7,675,000","6,045,000","4,293,000","917,000"
Basic EPS,BBVA,1.29,0.98,0.67,0.14
Diluted EPS,BBVA,1.29,0.98,0.67,0.14
Basic Average Shares,BBVA,"5,838,000","6,030,000","6,401,000","6,653,534"
Diluted Average Shares,BBVA,"5,838,000","6,030,000","6,401,000","6,653,534"
Interest Income after Provision for Loan Loss,BBVA,"18,661,000","15,745,000","11,661,000","9,240,000"
Net Income from Continuing & Discontinued Operation,BBVA,"8,019,000","6,358,000","4,653,000","1,305,000"
Normalized Income,BBVA,"8,027,810","6,538,915","5,196,966","3,768,274"
Reconciled Depreciation,BBVA,"1,403,000","1,328,000","1,234,000","1,288,000"
Net Income from Continuing Operation Net Minority Interest,BBVA,"8,019,000","6,559,000","4,373,000","3,034,000"
Total Unusual Items Excluding Goodwill,BBVA,"-13,000","30,000","-1,118,000","-1,017,000"
Total Unusual Items,BBVA,"-13,000","30,000","-1,118,000","-1,017,000"
Tax Rate for Calcs,BBVA,0,0,0,0
Tax Effect of Unusual Items,BBVA,"-4,190","9,915","-294,034","-282,726"
Total Revenue,USB,"28,013,000","24,184,000","22,721,000","23,226,000"
Net Interest Income,USB,"17,396,000","14,728,000","12,494,000","12,825,000"
Interest Income,USB,"30,007,000","17,945,000","13,487,000","14,840,000"
Interest Income from Loans And Lease,USB,"22,471,000","13,804,000","10,979,000","12,234,000"
Interest Income from Loans,USB,"22,471,000","13,804,000","10,979,000","12,234,000"
Interest Income from Securities,USB,"4,485,000","3,378,000","2,365,000","2,428,000"
Other Interest Income,USB,"3,051,000","763,000","143,000","178,000"
Interest Expense,USB,"12,611,000","3,217,000","993,000","2,015,000"
Interest Expense for Deposit,USB,"8,775,000","1,872,000","320,000","950,000"
Interest Expense for Short Term Debt,USB,"1,971,000","565,000","70,000","141,000"
Interest Expense for Long Term Debt And Capital Securities,USB,"1,865,000","780,000","603,000","924,000"
Non Interest Income,USB,"10,617,000","9,456,000","10,227,000","10,401,000"
Fees And Commissions,USB,"10,004,000","9,163,000","9,403,000","9,476,000"
Fees & Commission Income,USB,"10,004,000","9,163,000","9,403,000","9,476,000"
Service Charge on Depositor Accounts,USB,"5,915,000","5,442,000","6,064,000","6,402,000"
Trust Fees by Commissions,USB,"2,459,000","2,209,000","1,832,000","1,736,000"
Credit Card,USB,"1,630,000","1,512,000","1,507,000","1,338,000"
Gain Losson Saleof Assets,USB,"-145,000","20,000","103,000","177,000"
Gain on Sale of Security,USB,"-145,000","20,000","103,000","177,000"
Other Non Interest Income,USB,"758,000","273,000","721,000","748,000"
Credit Losses Provision,USB,"-2,275,000","-1,977,000","1,173,000","-3,806,000"
Non Interest Expense,USB,"17,864,000","14,577,000","13,728,000","13,369,000"
Occupancy And Equipment,USB,"1,266,000","1,096,000","1,048,000","1,092,000"
Professional Expense And Contract Services Expense,USB,"560,000","529,000","492,000","430,000"
Selling General and Administrative,USB,"11,142,000","9,613,000","9,094,000","8,256,000"
General & Administrative Expense,USB,"10,416,000","9,157,000","8,728,000","7,938,000"
Salaries and Wages,USB,"10,416,000","9,157,000","8,728,000","7,938,000"
Other G and A,USB,-,-,-,"1,582,000"
Selling & Marketing Expense,USB,"726,000","456,000","366,000","318,000"
Depreciation Amortization Depletion,USB,"636,000","215,000","159,000","176,000"
Depreciation & amortization,USB,"636,000","215,000","159,000","176,000"
Amortization,USB,"636,000","215,000","159,000","176,000"
Amortization of Intangibles,USB,"636,000","215,000","159,000","176,000"
Other Non Interest Expense,USB,"4,260,000","3,124,000","2,935,000","3,415,000"
Special Income Charges,USB,"-1,009,000","-329,000",0,0
Restructuring & Mergers Acquisition,USB,"1,009,000","329,000",0,0
Other Special Charges,USB,-,-,-,-
Pretax Income,USB,"6,865,000","7,301,000","10,166,000","6,051,000"
Tax Provision,USB,"1,407,000","1,463,000","2,181,000","1,066,000"
Net Income Common Stockholders,USB,"5,051,000","5,501,000","7,605,000","4,621,000"
Net Income,USB,"5,429,000","5,825,000","7,963,000","4,959,000"
Net Income Including Non-Controlling Interests,USB,"5,458,000","5,838,000","7,985,000","4,985,000"
Net Income Continuous Operations,USB,"5,458,000","5,838,000","7,985,000","4,985,000"
Minority Interests,USB,"-29,000","-13,000","-22,000","-26,000"
Preferred Stock Dividends,USB,"350,000","296,000","303,000","304,000"
Diluted NI Available to Com Stockholders,USB,"5,051,000","5,501,000","7,605,000","4,621,000"
Basic EPS,USB,3.27,3.69,5.11,3.06
Diluted EPS,USB,3.27,3.69,5.10,3.06
Basic Average Shares,USB,"1,543,000","1,489,000","1,489,000","1,509,000"
Diluted Average Shares,USB,"1,543,000","1,490,000","1,490,000","1,510,000"
Interest Income after Provision for Loan Loss,USB,"15,121,000","12,751,000","13,667,000","9,019,000"
Net Income from Continuing & Discontinued Operation,USB,"5,429,000","5,825,000","7,963,000","4,959,000"
Normalized Income,USB,"6,231,155","6,088,200","7,963,000","4,959,000"
Reconciled Depreciation,USB,"1,018,000","560,000","497,000","527,000"
Net Income from Continuing Operation Net Minority Interest,USB,"5,429,000","5,825,000","7,963,000","4,959,000"
Total Unusual Items Excluding Goodwill,USB,"-1,009,000","-329,000",0,0
Total Unusual Items,USB,"-1,009,000","-329,000",0,0
Tax Rate for Calcs,USB,0,0,0,0
Tax Effect of Unusual Items,USB,"-206,845","-65,800",0,0
Total Revenue,UNCRY,"23,572,000","20,147,000","18,674,000","18,428,000"
Net Interest Income,UNCRY,"14,005,000","10,669,000","9,091,000","9,497,000"
Interest Income,UNCRY,"14,005,000","10,669,000","12,703,000","13,182,000"
Interest Expense,UNCRY,-,"5,715,000","3,612,000","3,685,000"
Non Interest Income,UNCRY,"9,567,000","9,478,000","9,583,000","8,931,000"
Fees And Commissions,UNCRY,"7,463,000","7,625,000","5,613,000","5,199,000"
Fees & Commission Income,UNCRY,-,"7,217,000","6,873,000","6,411,000"
Fees & Commission Expense,UNCRY,-,"1,418,000","1,260,000","1,212,000"
Dividend Income,UNCRY,"459,000","306,000","327,000","201,000"
Income from Associates & Other Participating Interests,UNCRY,-,"297,000","-1,462,000","-1,297,000"
Special Income Charges,UNCRY,"-1,060,000","-324,000","-1,754,000","-2,537,000"
Restructuring & Mergers Acquisition,UNCRY,"1,060,000","324,000","1,365,000","1,502,000"
Impairment of Capital Assets,UNCRY,-,"123,000","89,000","61,000"
Write Off,UNCRY,-,-,-,"122,000"
Other Special Charges,UNCRY,-,"24,000","300,000","88,000"
Pretax Income,UNCRY,"11,451,000","7,289,000","1,779,000","-2,505,000"
Tax Provision,UNCRY,"1,914,000","819,000","-343,000","322,000"
Net Income Common Stockholders,UNCRY,"9,507,000","6,458,000","2,066,000","-2,907,000"
