Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Total Revenue,JPM,"154,952,000","128,641,000","121,685,000","119,883,000"
Net Interest Income,JPM,"89,267,000","66,710,000","52,311,000","54,563,000"
Interest Income,JPM,"170,588,000","92,807,000","57,864,000","64,523,000"
Interest Income from Loans And Lease,JPM,"83,384,000","52,736,000","41,537,000","43,758,000"
Interest Income from Loans,JPM,"83,384,000","52,736,000","41,537,000","43,758,000"
Interest Income from Securities,JPM,"34,676,000","20,400,000","14,348,000","16,859,000"
Interest Income from Deposits,JPM,"21,797,000","9,039,000","512,000","749,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,JPM,"23,062,000","6,869,000","573,000","2,134,000"
Other Interest Income,JPM,"7,669,000","3,763,000","894,000","1,023,000"
Interest Expense,JPM,"81,321,000","26,097,000","5,553,000","9,960,000"
Interest Expense for Deposit,JPM,"40,016,000","10,082,000","531,000","2,357,000"
Interest Expense for Short Term Debt,JPM,"1,894,000","747,000","126,000","372,000"
Interest Expense for Long Term Debt And Capital Securities,JPM,"25,199,000","11,321,000","4,539,000","5,959,000"
Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,JPM,"13,259,000","3,721,000","274,000","1,058,000"
Other Interest Expense,JPM,"953,000","226,000","83,000","214,000"
Non Interest Income,JPM,"65,685,000","61,931,000","69,374,000","65,320,000"
Fees And Commissions,JPM,"35,429,000","33,445,000","35,333,000","32,214,000"
Fees & Commission Income,JPM,"35,429,000","33,445,000","35,333,000","32,214,000"
Service Charge on Depositor Accounts,JPM,"10,899,000","10,696,000","11,756,000","11,851,000"
Trust Fees by Commissions,JPM,"15,220,000","14,096,000","14,405,000","12,032,000"
Securities Activities,JPM,"2,820,000","2,831,000","3,046,000","2,959,000"
Credit Card,JPM,"4,784,000","4,420,000","5,102,000","4,435,000"
Other Customer Services,JPM,"1,706,000","1,402,000","1,024,000","937,000"
Investment Banking Profit,JPM,"6,519,000","6,686,000","13,216,000","9,486,000"
Trading Gain Loss,JPM,"19,378,000","14,793,000","13,517,000","13,768,000"
Foreign Exchange Trading Gains,JPM,"5,082,000","5,119,000","2,787,000","4,253,000"
Gain Losson Saleof Assets,JPM,"-3,218,000","-1,520,000","-309,000","734,000"
Gain on Sale of Security,JPM,"-3,218,000","-1,520,000","-309,000","734,000"
Other Non Interest Income,JPM,"2,495,000","3,408,000","4,830,000","4,865,000"
Credit Losses Provision,JPM,"-9,282,000","-6,335,000","9,220,000","-17,412,000"
Non Interest Expense,JPM,"81,776,000","75,874,000","70,917,000","66,656,000"
Occupancy And Equipment,JPM,"13,836,000","14,054,000","14,457,000","14,787,000"
Net Occupancy Expense,JPM,"4,590,000","4,696,000","4,516,000","4,449,000"
Equipment,JPM,"9,246,000","9,358,000","9,941,000","10,338,000"
Professional Expense And Contract Services Expense,JPM,"10,235,000","10,174,000","9,814,000","9,579,000"
Selling General and Administrative,JPM,"51,056,000","45,547,000","41,603,000","37,464,000"
General & Administrative Expense,JPM,"46,465,000","41,636,000","38,567,000","34,988,000"
Salaries and Wages,JPM,"46,465,000","41,636,000","38,567,000","34,988,000"
Other G and A,JPM,-,-,-,"10,338,000"
Selling & Marketing Expense,JPM,"4,591,000","3,911,000","3,036,000","2,476,000"
Other Non Interest Expense,JPM,"6,649,000","6,099,000","5,043,000","4,826,000"
Income from Associates & Other Participating Interests,JPM,-,-,"-21,000","181,000"
Special Income Charges,JPM,"-2,282,000","-266,000","-426,000",-
Restructuring & Mergers Acquisition,JPM,"-2,054,000",0,0,-
Other Special Charges,JPM,"4,336,000","266,000","426,000",-
Pretax Income,JPM,"61,612,000","46,166,000","59,562,000","35,815,000"
Tax Provision,JPM,"12,060,000","8,490,000","11,228,000","6,684,000"
Net Income Common Stockholders,JPM,"47,760,000","35,892,000","46,503,000","27,410,000"
Net Income,JPM,"49,552,000","37,676,000","48,334,000","29,131,000"
Net Income Including Non-Controlling Interests,JPM,"49,552,000","37,676,000","48,334,000","29,131,000"
Net Income Continuous Operations,JPM,"49,552,000","37,676,000","48,334,000","29,131,000"
Preferred Stock Dividends,JPM,"1,501,000","1,595,000","1,600,000","1,583,000"
Diluted NI Available to Com Stockholders,JPM,"47,760,000","35,892,000","46,503,000","27,410,000"
Basic EPS,JPM,16.25,12.10,15.39,8.89
Diluted EPS,JPM,16.23,12.09,15.36,8.88
Basic Average Shares,JPM,"2,938,600","2,965,800","3,021,500","3,082,400"
Diluted Average Shares,JPM,"2,943,100","2,970,000","3,026,600","3,087,400"
Interest Income after Provision for Loan Loss,JPM,"79,985,000","60,375,000","61,531,000","37,151,000"
Net Income from Continuing & Discontinued Operation,JPM,"49,552,000","37,676,000","48,334,000","29,131,000"
Normalized Income,JPM,"51,386,728","37,893,056","48,679,486","29,131,000"
Total Money Market Investments,JPM,"44,859,000","15,908,000","1,085,000","2,883,000"
Reconciled Depreciation,JPM,"7,512,000","7,051,000","7,932,000","8,614,000"
Net Income from Continuing Operation Net Minority Interest,JPM,"49,552,000","37,676,000","48,334,000","29,131,000"
Total Unusual Items Excluding Goodwill,JPM,"-2,282,000","-266,000","-426,000",-
Total Unusual Items,JPM,"-2,282,000","-266,000","-426,000",-
Tax Rate for Calcs,JPM,0,0,0,0
Tax Effect of Unusual Items,JPM,"-447,272","-48,944","-80,514",0
Total Revenue,HSBC,"63,019,000","56,025,000","64,247,000","63,280,000"
Net Interest Income,HSBC,"35,796,000","30,377,000","26,489,000","27,578,000"
Interest Income,HSBC,"100,868,000","52,826,000","36,188,000","41,756,000"
Interest Expense,HSBC,"65,072,000","22,449,000","9,699,000","14,178,000"
Non Interest Income,HSBC,"27,223,000","25,648,000","37,758,000","35,702,000"
Total Premiums Earned,HSBC,"1,156,000","777,000","14,923,000","12,174,000"
Fees And Commissions,HSBC,"11,259,000","11,329,000","12,080,000","10,859,000"
Fees & Commission Income,HSBC,"15,030,000","14,683,000","15,771,000","14,036,000"
Fees & Commission Expense,HSBC,"3,771,000","3,354,000","3,691,000","3,177,000"
Income from Associates & Other Participating Interests,HSBC,"2,807,000","2,723,000","3,046,000","1,597,000"
Special Income Charges,HSBC,"-146,000","-8,336,000","-3,204,000","-3,023,000"
Restructuring & Mergers Acquisition,HSBC,"-1,727,000","3,129,000","2,143,000","2,078,000"
Impairment of Capital Assets,HSBC,-,"-4,000",-,"1,049,000"
Write Off,HSBC,"2,850,000","2,316,000","587,000",0
Other Special Charges,HSBC,"-977,000","2,891,000","-113,000","-145,000"
Pretax Income,HSBC,"30,348,000","17,058,000","18,906,000","8,777,000"
Tax Provision,HSBC,"5,789,000","809,000","4,213,000","2,678,000"
Net Income Common Stockholders,HSBC,"22,432,000","14,346,000","12,607,000","3,898,000"
