breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Total Revenue",JPM,154952000.0,128641000.0,121685000.0,119883000.0
"Net Interest Income",JPM,89267000.0,66710000.0,52311000.0,54563000.0
"Interest Income",JPM,170588000.0,92807000.0,57864000.0,64523000.0
"Interest Income from Loans And Lease",JPM,83384000.0,52736000.0,41537000.0,43758000.0
"Interest Income from Loans",JPM,83384000.0,52736000.0,41537000.0,43758000.0
"Interest Income from Securities",JPM,34676000.0,20400000.0,14348000.0,16859000.0
"Interest Income from Deposits",JPM,21797000.0,9039000.0,512000.0,749000.0
"Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell",JPM,23062000.0,6869000.0,573000.0,2134000.0
"Other Interest Income",JPM,7669000.0,3763000.0,894000.0,1023000.0
"Interest Expense",JPM,81321000.0,26097000.0,5553000.0,9960000.0
"Interest Expense for Deposit",JPM,40016000.0,10082000.0,531000.0,2357000.0
"Interest Expense for Short Term Debt",JPM,1894000.0,747000.0,126000.0,372000.0
"Interest Expense for Long Term Debt And Capital Securities",JPM,25199000.0,11321000.0,4539000.0,5959000.0
"Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell",JPM,13259000.0,3721000.0,274000.0,1058000.0
"Other Interest Expense",JPM,953000.0,226000.0,83000.0,214000.0
"Non Interest Income",JPM,65685000.0,61931000.0,69374000.0,65320000.0
"Fees And Commissions",JPM,35429000.0,33445000.0,35333000.0,32214000.0
"Fees & Commission Income",JPM,35429000.0,33445000.0,35333000.0,32214000.0
"Service Charge on Depositor Accounts",JPM,10899000.0,10696000.0,11756000.0,11851000.0
"Trust Fees by Commissions",JPM,15220000.0,14096000.0,14405000.0,12032000.0
"Securities Activities",JPM,2820000.0,2831000.0,3046000.0,2959000.0
"Credit Card",JPM,4784000.0,4420000.0,5102000.0,4435000.0
"Other Customer Services",JPM,1706000.0,1402000.0,1024000.0,937000.0
"Investment Banking Profit",JPM,6519000.0,6686000.0,13216000.0,9486000.0
"Trading Gain Loss",JPM,19378000.0,14793000.0,13517000.0,13768000.0
"Foreign Exchange Trading Gains",JPM,5082000.0,5119000.0,2787000.0,4253000.0
"Gain Losson Saleof Assets",JPM,-3218000.0,-1520000.0,-309000.0,734000.0
"Gain on Sale of Security",JPM,-3218000.0,-1520000.0,-309000.0,734000.0
"Other Non Interest Income",JPM,2495000.0,3408000.0,4830000.0,4865000.0
"Credit Losses Provision",JPM,-9282000.0,-6335000.0,9220000.0,-17412000.0
"Non Interest Expense",JPM,81776000.0,75874000.0,70917000.0,66656000.0
"Occupancy And Equipment",JPM,13836000.0,14054000.0,14457000.0,14787000.0
"Net Occupancy Expense",JPM,4590000.0,4696000.0,4516000.0,4449000.0
Equipment,JPM,9246000.0,9358000.0,9941000.0,10338000.0
"Professional Expense And Contract Services Expense",JPM,10235000.0,10174000.0,9814000.0,9579000.0
"Selling General and Administrative",JPM,51056000.0,45547000.0,41603000.0,37464000.0
"General & Administrative Expense",JPM,46465000.0,41636000.0,38567000.0,34988000.0
"Salaries and Wages",JPM,46465000.0,41636000.0,38567000.0,34988000.0
"Other G and A",JPM,78340455.8522935,59370784.164795734,51505248.92342425,10338000.0
"Selling & Marketing Expense",JPM,4591000.0,3911000.0,3036000.0,2476000.0
"Other Non Interest Expense",JPM,6649000.0,6099000.0,5043000.0,4826000.0
"Income from Associates & Other Participating Interests",JPM,78340455.8522935,59370784.164795734,-21000.0,181000.0
"Special Income Charges",JPM,-2282000.0,-266000.0,-426000.0,52745342.82654964
"Restructuring & Mergers Acquisition",JPM,-2054000.0,0.0,0.0,52745342.82654964
"Other Special Charges",JPM,4336000.0,266000.0,426000.0,52745342.82654964
"Pretax Income",JPM,61612000.0,46166000.0,59562000.0,35815000.0
"Tax Provision",JPM,12060000.0,8490000.0,11228000.0,6684000.0
"Net Income Common Stockholders",JPM,47760000.0,35892000.0,46503000.0,27410000.0
"Net Income",JPM,49552000.0,37676000.0,48334000.0,29131000.0
"Net Income Including Non-Controlling Interests",JPM,49552000.0,37676000.0,48334000.0,29131000.0
"Net Income Continuous Operations",JPM,49552000.0,37676000.0,48334000.0,29131000.0
"Preferred Stock Dividends",JPM,1501000.0,1595000.0,1600000.0,1583000.0
"Diluted NI Available to Com Stockholders",JPM,47760000.0,35892000.0,46503000.0,27410000.0
"Basic EPS",JPM,16.25,12.1,15.39,8.89
"Diluted EPS",JPM,16.23,12.09,15.36,8.88
"Basic Average Shares",JPM,2938600.0,2965800.0,3021500.0,3082400.0
"Diluted Average Shares",JPM,2943100.0,2970000.0,3026600.0,3087400.0
"Interest Income after Provision for Loan Loss",JPM,79985000.0,60375000.0,61531000.0,37151000.0
"Net Income from Continuing & Discontinued Operation",JPM,49552000.0,37676000.0,48334000.0,29131000.0
"Normalized Income",JPM,51386728.0,37893056.0,48679486.0,29131000.0
"Total Money Market Investments",JPM,44859000.0,15908000.0,1085000.0,2883000.0
"Reconciled Depreciation",JPM,7512000.0,7051000.0,7932000.0,8614000.0
"Net Income from Continuing Operation Net Minority Interest",JPM,49552000.0,37676000.0,48334000.0,29131000.0
"Total Unusual Items Excluding Goodwill",JPM,-2282000.0,-266000.0,-426000.0,52745342.82654964
"Total Unusual Items",JPM,-2282000.0,-266000.0,-426000.0,52745342.82654964
"Tax Rate for Calcs",JPM,0.0,0.0,0.0,0.0
"Tax Effect of Unusual Items",JPM,-447272.0,-48944.0,-80514.0,0.0
"Total Revenue",HSBC,63019000.0,56025000.0,64247000.0,63280000.0
"Net Interest Income",HSBC,35796000.0,30377000.0,26489000.0,27578000.0
"Interest Income",HSBC,100868000.0,52826000.0,36188000.0,41756000.0
"Interest Expense",HSBC,65072000.0,22449000.0,9699000.0,14178000.0
"Non Interest Income",HSBC,27223000.0,25648000.0,37758000.0,35702000.0
"Total Premiums Earned",HSBC,1156000.0,777000.0,14923000.0,12174000.0
"Fees And Commissions",HSBC,11259000.0,11329000.0,12080000.0,10859000.0
"Fees & Commission Income",HSBC,15030000.0,14683000.0,15771000.0,14036000.0
"Fees & Commission Expense",HSBC,3771000.0,3354000.0,3691000.0,3177000.0
"Income from Associates & Other Participating Interests",HSBC,2807000.0,2723000.0,3046000.0,1597000.0
"Special Income Charges",HSBC,-146000.0,-8336000.0,-3204000.0,-3023000.0
