breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Net Income from Continuing Operations",JPM,49552000.0,37676000.0,48334000.0,29131000.0
"Operating Gains Losses",JPM,-2775000.0,214641227.3611557,125287530.36793894,89357174.79968329
"Gain Loss On Sale of Business",JPM,-2775000.0,0.0,0.0,89357174.79968329
"Depreciation Amortization Depletion",JPM,7512000.0,7051000.0,7932000.0,8614000.0
"Depreciation & amortization",JPM,7512000.0,7051000.0,7932000.0,8614000.0
"Deferred Tax",JPM,-4534000.0,-2738000.0,3748000.0,-3573000.0
"Deferred Income Tax",JPM,-4534000.0,-2738000.0,3748000.0,-3573000.0
"Other non-cash items",JPM,10067000.0,26055000.0,-8575000.0,13750000.0
"Provision for Loan Lease And Other Losses",JPM,9320000.0,6389000.0,-9256000.0,17480000.0
"Change in working capital",JPM,-56168000.0,32686000.0,35901000.0,-145312000.0
"Change in Receivables",JPM,19928000.0,-22970000.0,-12401000.0,-18012000.0
"Changes in Account Receivables",JPM,19928000.0,-22970000.0,-12401000.0,-18012000.0
"Change in Payables And Accrued Expense",JPM,-25388000.0,58614000.0,43162000.0,7415000.0
"Change in Payable",JPM,-25388000.0,58614000.0,43162000.0,7415000.0
"Change in Account Payable",JPM,-25388000.0,58614000.0,43162000.0,7415000.0
"Change in Other Current Assets",JPM,32970000.0,-2882000.0,-11745000.0,-42430000.0
"Change in Other Working Capital",JPM,-83678000.0,-76000.0,16885000.0,-92285000.0
"Investing Cash Flow",JPM,67643000.0,-137819000.0,-129344000.0,-261912000.0
"Cash Flow from Continuing Investing Activities",JPM,67643000.0,-137819000.0,-129344000.0,-261912000.0
"Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell",JPM,39740000.0,-54278000.0,34473000.0,-47115000.0
"Net Investment Purchase And Sale",JPM,95594000.0,12467000.0,-96821000.0,-180752000.0
"Purchase of Investment",JPM,-119640000.0,-159934000.0,-360541000.0,-409545000.0
"Sale of Investment",JPM,215234000.0,172401000.0,263720000.0,228793000.0
"Net Proceeds Payment for Loan",JPM,-41031000.0,-84076000.0,-55952000.0,-26704000.0
"Proceeds from Loans",JPM,47312000.0,44892000.0,35845000.0,23559000.0
"Payment for Loans",JPM,-88343000.0,-128968000.0,-91797000.0,-50263000.0
"Net Business Purchase And Sale",JPM,-9920000.0,0.0,0.0,89357174.79968329
"Net Other Investing Changes",JPM,-16740000.0,-11932000.0,-11044000.0,-7341000.0
"Financing Cash Flow",JPM,-25571000.0,-126257000.0,275993000.0,596645000.0
"Cash Flow from Continuing Financing Activities",JPM,-25571000.0,-126257000.0,275993000.0,596645000.0
